faculty,application,lowest_score,highest_score
دیپارتمنت مطبوعات پوهنځی ژورنالیزم پوهنتون پروان,43,182.2757,275.6654
دیپارتمنت امورمالی و بانکی پوهنځی اقتصاد پوهنتون پروان,43,237.5528,273.0784
دیپارتمنت ریاضی پوهنځی تعلیم و تربیه پوهنتون پروان,43,162.9434,263.7644
دیپارتمنت تعلیمات اسلامی پوهنځی شرعیات پوهنتون پروان,43,182.3536,260.3097
دیپارتمنت رادیو تلویزیون پوهنځی ژورنالیزم پوهنتون پروان,43,191.7887,255.5862
دیپارتمنت حقوق پوهنځی حقوق و علوم سیاسی پوهنتون پروان (مدارس),43,171.2647,251.3673
دیپارتمنت حقوق پوهنځی حقوق و علوم سیاسی پوهنتون پروان,43,198.8784,247.207
دیپارتمنت زبان و ادبیات انگلیسی پوهنځی زبان و ادبیات پوهنتون پروان,43,199.121,247.1182
دیپارتمنت اگرانومی پوهنځی زراعت پوهنتون پروان,43,150.3384,245.5563
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون پروان (مدارس),43,173.1493,242.9471
دیپارتمنت علوم سیاسی و روابط بین الملل پوهنځی حقوق و علوم سیاسی پوهنتون پروان,43,198.769,238.7881
دیپارتمنت فقه و قانون پوهنځی شرعیات پوهنتون پروان,43,197.6565,232.721
انستیتیوت تخنیکی ولایت پروان,43,143.7201,221.8435
دیپارتمنت اقتصاد و توسعۀ زراعتی پوهنځی زراعت پوهنتون پروان,43,175.2204,216.4266
دیپارتمنت کیمیا پوهنځی تعلیم و تربیه پوهنتون پروان,43,150.6251,215.8005
دیپارتمنت زبان و ادبیات عربی پوهنځی زبان و ادبیات پوهنتون پروان,43,162.1294,213.1991
دیپارتمنت بیولوژی پوهنځی تعلیم و تربیه پوهنتون پروان,43,167.831,211.5714
دیپارتمنت هارتیکلچر (باغداری) پوهنځی زراعت پوهنتون پروان,43,162.9202,211.4522
دیپارتمنت زبان و ادبیات پشتو پوهنځی زبان و ادبیات پوهنتون پروان,43,161.1803,209.0492
دیپارتمنت فزیک پوهنځی تعلیم و تربیه پوهنتون پروان,43,153.8277,204.163
